+------------------------+----------------------------+--------------------+
|                        |     Supported Features     |  Program Commands  |
+========================+============================+====================+
| Compatible Layers      | Hopfield Layer,            | hopfield,          |
|                        | HopfieldLayer Layer,       | hopfield_layer,    |
|                        | HopfieldPooling Layer,     | hopfield_pooling,  |
|                        | LSTM,                      | lstm,              |
|                        | GRU                        | gru                |
+------------------------+----------------------------+--------------------+
| Supported Loss Metrics | Huber Loss,                | huber,             |
|                        | Mean Absolute Error Loss,  | mae,               |
|                        | Mean Squared Error Loss,   | mse,               |
|                        | SmoothL1 Loss              | smooth_l1          |
+------------------------+----------------------------+--------------------+
| Supported Optimizers   | RMSprop (default),         | rmsprop,           |
|                        | AdamW,                     | adam,              |
|                        | Adam                       | adamW              |
+------------------------+----------------------------+--------------------+
+------------------------------+---------+
|          Parameter           |  Value  |
+==============================+=========+
| Loss Metric:                 | huber   |
+------------------------------+---------+
| Sequence Length:             | 50      |
+------------------------------+---------+
| Learning Rate:               | 0.005   |
+------------------------------+---------+
| Update Target Steps:         | 2500    |
+------------------------------+---------+
| Optimizer:                   | rmsprop |
+------------------------------+---------+
| Hopfield Inverse Temperature | 0.100   |
+------------------------------+---------+
| Big or Small Loss            | yes     |
+------------------------------+---------+
| Soft or Hard Update          | soft    |
+------------------------------+---------+
| Polyak Factor                | 0.500   |
+------------------------------+---------+
| Episode:   1 | Epsilon:  0.90 | Reward: -110.54749727245496 | Average Reward: -110.547 | Steps:    93 | Total Reward: -110.54749727245496|
| Episode:   2 | Epsilon:  0.86 | Reward: -202.01649481129934 | Average Reward: -156.282 | Steps:   176 | Total Reward: -312.56399208375456|
| Episode:   3 | Epsilon:  0.82 | Reward: -102.21104855017111 | Average Reward: -138.258 | Steps:   269 | Total Reward: -414.7750406339252|
| Episode:   4 | Epsilon:  0.79 | Reward: -78.09173153553843 | Average Reward: -123.217 | Steps:   384 | Total Reward: -492.86677216946293|
| Episode:   5 | Epsilon:  0.75 | Reward: -354.91482785223474 | Average Reward: -169.556 | Steps:   509 | Total Reward: -847.7816000216972|
| Episode:   6 | Epsilon:  0.72 | Reward: -313.3757930825841 | Average Reward: -193.526 | Steps:   606 | Total Reward: -1161.157393104281|
| Episode:   7 | Epsilon:  0.69 | Reward: -312.5488847481148 | Average Reward: -210.529 | Steps:   701 | Total Reward: -1473.7062778523955|
| Episode:   8 | Epsilon:  0.66 | Reward: -295.4477937730496 | Average Reward: -221.144 | Steps:   802 | Total Reward: -1769.1540716254449|
| Episode:   9 | Epsilon:  0.64 | Reward: -106.2944966748745 | Average Reward: -208.383 | Steps:   870 | Total Reward: -1875.4485683003197|
| Episode:  10 | Epsilon:  0.61 | Reward: -91.58540851340739 | Average Reward: -196.703 | Steps:   925 | Total Reward: -1967.0339768137267|
| Episode:  11 | Epsilon:  0.59 | Reward: -140.1688055933401 | Average Reward: -191.564 | Steps:  1028 | Total Reward: -2107.202782407066|
