+------------------------+----------------------------+--------------------+
|                        |     Supported Features     |  Program Commands  |
+========================+============================+====================+
| Compatible Layers      | Hopfield Layer,            | hopfield,          |
|                        | HopfieldLayer Layer,       | hopfield_layer,    |
|                        | HopfieldPooling Layer,     | hopfield_pooling,  |
|                        | LSTM,                      | lstm,              |
|                        | GRU                        | gru                |
+------------------------+----------------------------+--------------------+
| Supported Loss Metrics | Huber Loss,                | huber,             |
|                        | Mean Absolute Error Loss,  | mae,               |
|                        | Mean Squared Error Loss,   | mse,               |
|                        | SmoothL1 Loss              | smooth_l1          |
+------------------------+----------------------------+--------------------+
| Supported Optimizers   | RMSprop (default),         | rmsprop,           |
|                        | AdamW,                     | adam,              |
|                        | Adam                       | adamW              |
+------------------------+----------------------------+--------------------+
+------------------------------+-----------+
|          Parameter           |   Value   |
+==============================+===========+
| Loss Metric:                 | smooth_l1 |
+------------------------------+-----------+
| Sequence Length:             | 20        |
+------------------------------+-----------+
| Learning Rate:               | 0.001     |
+------------------------------+-----------+
| Update Target Steps:         | 10000     |
+------------------------------+-----------+
| Optimizer:                   | adamW     |
+------------------------------+-----------+
| Hopfield Inverse Temperature | 0.010     |
+------------------------------+-----------+
| Big or Small Loss            | no        |
+------------------------------+-----------+
| Soft or Hard Update          | soft      |
+------------------------------+-----------+
| Polyak Factor                | 0.500     |
+------------------------------+-----------+
| Episode:   1 | Epsilon:  0.90 | Reward: -421.5746078056947 | Average Reward: -421.575 | Steps:    84 | Total Reward: -421.5746078056947|
| Episode:   2 | Epsilon:  0.86 | Reward: -137.52094835290495 | Average Reward: -279.548 | Steps:   157 | Total Reward: -559.0955561585988|
| Episode:   3 | Epsilon:  0.82 | Reward: -210.20810876565906 | Average Reward: -256.435 | Steps:   221 | Total Reward: -769.3036649242572|
| Episode:   4 | Epsilon:  0.79 | Reward: -125.69371603073574 | Average Reward: -223.749 | Steps:   297 | Total Reward: -894.9973809549923|
| Episode:   5 | Epsilon:  0.75 | Reward: -230.0480333451971 | Average Reward: -225.009 | Steps:   365 | Total Reward: -1125.0454143001887|
| Episode:   6 | Epsilon:  0.72 | Reward: -23.883497085154573 | Average Reward: -191.488 | Steps:   443 | Total Reward: -1148.9289113853422|
| Episode:   7 | Epsilon:  0.69 | Reward: -408.2636259397245 | Average Reward: -222.456 | Steps:   544 | Total Reward: -1557.1925373250656|
| Episode:   8 | Epsilon:  0.66 | Reward: -234.22539723737916 | Average Reward: -223.927 | Steps:   626 | Total Reward: -1791.417934562444|
| Episode:   9 | Epsilon:  0.64 | Reward: -181.1506312932572 | Average Reward: -219.174 | Steps:   686 | Total Reward: -1972.5685658557013|
| Episode:  10 | Epsilon:  0.61 | Reward: -362.5961751020794 | Average Reward: -233.516 | Steps:   743 | Total Reward: -2335.1647409577813|
| Episode:  11 | Epsilon:  0.59 | Reward: -595.8622095857656 | Average Reward: -266.457 | Steps:   843 | Total Reward: -2931.0269505435476|
