+------------------------+----------------------------+--------------------+
|                        |     Supported Features     |  Program Commands  |
+========================+============================+====================+
| Compatible Layers      | Hopfield Layer,            | hopfield,          |
|                        | HopfieldLayer Layer,       | hopfield_layer,    |
|                        | HopfieldPooling Layer,     | hopfield_pooling,  |
|                        | LSTM,                      | lstm,              |
|                        | GRU                        | gru                |
+------------------------+----------------------------+--------------------+
| Supported Loss Metrics | Huber Loss,                | huber,             |
|                        | Mean Absolute Error Loss,  | mae,               |
|                        | Mean Squared Error Loss,   | mse,               |
|                        | SmoothL1 Loss              | smooth_l1          |
+------------------------+----------------------------+--------------------+
| Supported Optimizers   | RMSprop (default),         | rmsprop,           |
|                        | AdamW,                     | adam,              |
|                        | Adam                       | adamW              |
+------------------------+----------------------------+--------------------+
+------------------------------+---------+
|          Parameter           |  Value  |
+==============================+=========+
| Loss Metric:                 | huber   |
+------------------------------+---------+
| Sequence Length:             | 50      |
+------------------------------+---------+
| Learning Rate:               | 0.001   |
+------------------------------+---------+
| Update Target Steps:         | 100     |
+------------------------------+---------+
| Optimizer:                   | rmsprop |
+------------------------------+---------+
| Hopfield Inverse Temperature | 1       |
+------------------------------+---------+
| Big or Small Loss            | yes     |
+------------------------------+---------+
| Soft or Hard Update          | hard    |
+------------------------------+---------+
| Polyak Factor                | None    |
+------------------------------+---------+
| Episode:   1 | Epsilon:  0.90 | Reward: 42.34480814493267 | Average Reward: 42.345 | Steps:    99 | Total Reward: 42.34480814493267|
| Episode:   2 | Epsilon:  0.85 | Reward: -220.41150582882648 | Average Reward: -89.033 | Steps:   190 | Total Reward: -178.06669768389378|
| Episode:   3 | Epsilon:  0.79 | Reward: -433.5243465523671 | Average Reward: -203.864 | Steps:   282 | Total Reward: -611.5910442362601|
| Episode:   4 | Epsilon:  0.75 | Reward: -366.77911857265866 | Average Reward: -244.593 | Steps:   366 | Total Reward: -978.3701628089179|
| Episode:   5 | Epsilon:  0.70 | Reward: -380.67475913174155 | Average Reward: -271.809 | Steps:   462 | Total Reward: -1359.04492194066|
| Episode:   6 | Epsilon:  0.66 | Reward: -40.33483341241856 | Average Reward: -233.230 | Steps:   522 | Total Reward: -1399.379755353079|
| Episode:   7 | Epsilon:  0.62 | Reward: -452.40101662837316 | Average Reward: -264.540 | Steps:   609 | Total Reward: -1851.7807719814525|
| Episode:   8 | Epsilon:  0.58 | Reward: -333.08659518090894 | Average Reward: -273.108 | Steps:   666 | Total Reward: -2184.867367162361|
| Episode:   9 | Epsilon:  0.55 | Reward: -205.14771270802163 | Average Reward: -265.557 | Steps:   727 | Total Reward: -2390.0150798703817|
| Episode:  10 | Epsilon:  0.52 | Reward: -488.2402351565821 | Average Reward: -287.826 | Steps:   811 | Total Reward: -2878.2553150269664|
| Episode:  11 | Epsilon:  0.49 | Reward: -565.1044018336579 | Average Reward: -313.033 | Steps:   907 | Total Reward: -3443.359716860626|
